description,Comp,Pos,Neu,Neg
"Research analysts of global banks have begun to roll out their predictions for the U.S. equity markets for 2022. The S&P 500 index <a href=""https://www.reuters.com/quote/.SPX"" target=""_blank"">(.SPX)</a> has risen nearly 25% so far. The index closed at 3,372.8…",0,0,1,0
"Goldman Sachs expects the S&P 500 index <a href=""https://www.reuters.com/quote/.SPX"" target=""_blank"">(.SPX)</a> to rise by a more modest 9% by the end of next year, saying the record-setting rally is likely to cool on worries over slowing economic growth and …",0.2732,0.118,0.815,0.067
"Morgan Stanley analysts see the S&P 500 <a href=""https://www.reuters.com/quote/.SPX"" target=""_blank"">(.SPX)</a> moving lower in 2022, with equity markets more volatile as earnings growth slows, bond yields climb and companies try to manage supply chain disrup…",0.1027,0.071,0.87,0.06
"The Zacks Analyst Blog Highlights: Dillard's, Boot Barn, SPX FLOW, Penske Automotive and Builders FirstSource",0,0,1,0
"The Dow was weighed down on Thursday by a collapse in IBM <a href=""https://www.reuters.com/companies/IBM.N"" target=""_blank"">(IBM.N)</a> shares after a disappointing quarterly report, but the Nasdaq gained and the S&P 500 index <a href=""https://www.reuters.com…",0.2023,0.142,0.739,0.119
U.S. stock indexes opened mixed on Tuesday as investors were cautious ahead of a Federal Reserve meeting where policymakers are expected to start scaling back bond purchases.,-0.1027,0,0.947,0.053
Wall Street's main indexes opened lower on Wednesday as a surge in U.S. consumer prices last month deepened fears that high inflation is here to stay.,-0.6124,0,0.821,0.179
Wall Street's main indexes opened flat on Wednesday as investors fretted over early rate hikes by the Federal Reserve after strong retail earnings and data showed an economic recovery was on track.,0.5106,0.096,0.904,0
"The S&P 500 and the Nasdaq indexes dropped from record highs at open on Friday, as results from mega-cap firms Apple and Amazon.com reignited concerns of labor and supply shortages that have been at the forefront of this quarterly earnings season.",-0.1531,0,0.962,0.038
"Wall Street's main indexes opened higher on Monday, with the Dow hitting a record high as big industrial firms were supported by the passage of a $1 trillion infrastructure bill.",0.3182,0.078,0.922,0
"The S&P 500 and the Nasdaq indexes opened higher on Thursday as chipmaker Nvidia rallied on robust third-quarter results, while a fresh batch of positive retail earnings indicated strength in consumer spending against the backdrop of rising inflation.",0.8885,0.258,0.742,0
"The S&P 500 and the Nasdaq indexes opened higher on Thursday, rebounding from a two-day selloff over signs of prolonged inflation, while Walt Disney Co tumbled as subscriber growth slowed in its streaming video service.",0.3818,0.073,0.927,0
"U.S. stock indexes opened higher on Friday, as Johnson & Johnson and big technology stocks led gains at the end of a week scarred by deepening concerns over prolonged inflation.",0.34,0.082,0.918,0
"U.S. stock indexes opened higher on Monday as economically resilient sectors benefited from inflation jitters, while investors awaited a slew of retail earnings and economic data this week to gauge the health of consumer spending.",-0.0258,0,0.968,0.032
"Wall Street's main indexes opened mixed on Tuesday after data showed a solid rise in producer prices last month, while General Electric surged on its plan to split into three public companies.",0.1531,0.051,0.949,0
"The S&P 500 and the Dow opened at record highs on Tuesday, helped by upbeat results from companies including United Parcel Service, while investor focus turned towards results from Microsoft and Alphabet later in the day.",0.4215,0.074,0.926,0
U.S. stocks moved modestly higher on Wednesday after the Federal Reserve said it will begin trimming its monthly bond purchases in November with plans to end them in 2022.,0,0,1,0
"Wall Street indexes opened slightly lower on Tuesday, with Nvidia weighing on the S&P 500 and Nasdaq after the UK ordered an in-depth probe into the chipmaker's planned acquisition of Arm.",-0.228,0,0.94,0.06
"The negative impact of currency fluctuations on corporate results for North American companies fell in the second quarter of this year from the previous quarter, data from treasury and financial management firm Kyriba showed on Tuesday.",-0.4404,0.046,0.861,0.094
The following are some of the factors that may move German stocks on Wednesday:,0,0,1,0
"London's FTSE 100 rose for a third straight session on Tuesday, boosted by consumer goods company Reckitt Benckiser after it lifted it sales forecast, while Wall Street indexes scaling record highs overnight buoyed the global mood.",0.5267,0.118,0.882,0
"Welcome to the home for real-time coverage of markets brought to you by Reuters reporters. You can share your thoughts with us at <a href=""mailto:markets.research@thomsonreuters.com"" target=""_blank"">markets.research@thomsonreuters.com</a>",0.6369,0.178,0.822,0
"U.S. stock index futures edged higher on Monday as investors geared up for earnings reports from heavyweight technology companies this week, while PayPal jumped after it said it was not interested in buying Pinterest.",-0.3089,0,0.936,0.064
"The Dow fell on Thursday as IBM <a href=""https://www.reuters.com/companies/IBM.N"" target=""_blank"">(IBM.N)</a> shares collapsed after a disappointing quarterly report, but the Nasdaq advanced with help from defensive big technology companies and Tesla Inc <a h…",0.631,0.229,0.676,0.095
"The Nasdaq ended little changed on Wednesday, boosted by gains in Microsoft and Google parent Alphabet on the heels of their quarterly results, but a drop in oil prices and a pullback in Treasury yields weighed on cyclical sectors and pulled the S&P 500 lower.",-0.2023,0.115,0.774,0.111
"The Nasdaq rose on Wednesday boosted by gains in Microsoft and Google parent Alphabet on the heels of their quarterly results, but a drop in oil prices and a pullback in Treasury yields weighed on cyclical sectors and capped gains on the S&P 500.",0.6249,0.181,0.764,0.055
The Dow Jones industrial average registered a record closing high on Friday and major equity indexes posted a third straight week of gains while the U.S. dollar slipped.,0.5106,0.152,0.848,0
"The S&P 500 and Nasdaq were in the red on Friday after Federal Reserve Chair Jerome Powell discussed stimulus tapering while disappointing quarterly reports from Snap Inc <a href=""https://www.reuters.com/companies/SNAP.N"" target=""_blank"">(SNAP.N)</a> and Inte…",-0.4939,0,0.906,0.094
"Wall Street stocks ended slightly higher on Monday, gaining early in the day as investors cheered passage of a U.S. infrastructure spending bill, but paring gains late as sliding Tesla shares weighed the indexes down.",0.8381,0.249,0.751,0
"Wall Street indexes were showing mixed performance on Monday as technology stocks reversed course on concerns over rising Treasury yields, although possible plane orders stemming from the Dubai Airshow pushed up Boeing and the Dow Jones benchmark.",0.2023,0.048,0.952,0
"Wall Street indexes closed out Monday's session near the unchanged mark as rising Treasury yields dented the appetite for technology stocks, while Boeing shares advanced on signs of demand for its freighter aircraft.",0.5423,0.164,0.795,0.041
"The Nasdaq Composite Index <a href=""https://www.reuters.com/quote/.IXIC"" target=""_blank"">(.IXIC)</a> closed above the 16,000 mark for the first time on Friday, in its second-straight record finish, while the Dow succumbed to its fourth losing session in the l…",-0.3818,0,0.929,0.071
"Welcome to the home for real-time coverage of markets brought to you by Reuters reporters. You can share your thoughts with us at <a href=""mailto:markets.research@thomsonreuters.com"" target=""_blank"">markets.research@thomsonreuters.com</a>",0.6369,0.178,0.822,0
"Welcome to the home for real-time coverage of markets brought to you by Reuters reporters. You can share your thoughts with us at <a href=""mailto:markets.research@thomsonreuters.com"" target=""_blank"">markets.research@thomsonreuters.com</a>",0.6369,0.178,0.822,0
Total U.S. corporate stock buybacks are on track to hit a record for the third quarter as the U.S. economy bounced back from the global pandemic and chief executives became less fearful of spending cash.,-0.4417,0,0.919,0.081
"Britain's shares are near ""record cheap"" levels as they have lagged their global peers since the Brexit vote, J.P. Morgan said on Monday, boosting its rating of UK stocks.",0.34,0.14,0.793,0.067
"Welcome to the home for real-time coverage of markets brought to you by Reuters reporters. You can share your thoughts with us at <a href=""mailto:markets.research@thomsonreuters.com"" target=""_blank"">markets.research@thomsonreuters.com</a>",0.6369,0.178,0.822,0
A lower VIX is one signal that often triggers systematic and quantitative investment funds to increase their exposure to equities.,0.0258,0.107,0.791,0.102
"The Dow Industrials and S&P 500 hit fresh record highs on Monday, as earnings season kicked in to high gear in one of the heaviest reporting weeks of the quarter with bellwethers in multiple sectors poised to announce results.",0.5106,0.104,0.896,0
"The Nasdaq ended little changed on Wednesday, boosted by gains in Microsoft and Google parent Alphabet on the heels of their quarterly results, but a drop in oil prices and a pullback in Treasury yields weighed on cyclical sectors and pulled the S&P 500 lower.",-0.2023,0.115,0.774,0.111
"The Nasdaq Composite Index <a href=""https://www.reuters.com/quote/.IXIC"" target=""_blank"">(.IXIC)</a> closed above 16,000 points for the first time on Friday, in its second-straight record finish powered by technology stocks, while pandemic jitters sent the Do…",0,0,1,0
"U.S. stock index futures hit record highs on Monday, led by gains in Tesla and economy-sensitive stocks at the start of a week packed with economic data as well as the Federal Reserve's potential move to slow down bond purchases.",0.5423,0.108,0.892,0
A look at the day ahead from Danilo Masoni.,0,0,1,0
"Boosted by a $1 trillion U.S. infrastructure bill, global stock markets held the line close to their all-time highs on Tuesday but investors were reluctant to commit further to the rally before getting a clearer picture of the surge in U.S inflation.",0.2617,0.103,0.84,0.057
"Global stock indexes mostly climbed and the S&P 500 posted a record closing high on Thursday,helped by gains in consumer discretionary and technology shares, while U.S. Treasury yields jumped.",0.6597,0.204,0.796,0
"Wall Street's main indexes rose on Tuesday to record highs as a strong earnings season continued to lift sentiment for equities, while investors were looking ahead to the outcome of a critical Federal Reserve meeting.",0.25,0.09,0.847,0.063
"Canada's main stock index rose on Thursday, led by gains in energy shares on the back of higher oil prices, while Lithium Americas jumped after it agreed to buy Argentina-focused Millennial Lithium.",0.7783,0.239,0.761,0
"U.S. stock index futures edged lower on Thursday as IBM and Tesla fell after their quarterly results, with investors awaiting more reports to see the impact of supply chain disruption and labor shortages on companies.",-0.6486,0,0.836,0.164
U.S. stocks moved modestly higher on Wednesday after the Federal Reserve said it will begin trimming its monthly bond purchases in November with plans to end them in 2022.,0,0,1,0
"U.S. stock index futures traded flat on Tuesday in the run-up to the first of a couple of readings on inflation this week, while General Electric surged on its plan to split into three public companies.",0,0,1,0
